text,label,has_arbitration,arbitration_type,features,source,ambiguous,text_length,word_count,arbitration_keyword_count,legal_keyword_count
You agree to binding arbitration for all claims and waive your right to jury trial. The arbitration shall be governed by the laws of the State of Delaware.,1,True,binding,"binding,jury_waiver,location_specified",synthetic,False,155,28,2,1
Any legal action must be brought through arbitration only. Court proceedings are specifically excluded.,1,True,mandatory,,synthetic,False,103,14,1,2
Any disagreement arising out of or relating to this User Agreement shall be resolved through binding arbitration in the state where the Company is headquartered.,1,True,binding,"binding,location_specified",synthetic,False,161,25,2,0
You agree that all disagreements will be settled by confidential arbitration administered by ICC.,1,True,mandatory,provider_specified,synthetic,False,97,14,2,0
Judicial proceedings are available for the resolution of any controversy. You waive any objection to venue in such courts.,0,False,none,"court_jurisdiction,venue_selection,no_arbitration",synthetic,False,122,19,0,5
Disputes will be resolved by a single arbitrator appointed under AAA rules. The arbitration shall be governed by the laws of the State of Delaware. You waive your right to participate in class action lawsuits.,1,True,mandatory,"class_action_waiver,provider_specified,location_specified",synthetic,False,209,35,3,1
Disputes should first be addressed through informal resolution procedures.,0,False,none,"alternative_dispute_resolution,no_mandatory_arbitration",original,True,74,9,0,2
The parties may agree to submit disputes to arbitration if both parties consent.,1,True,optional,"optional_arbitration,choice_available",original,True,80,13,1,1
You may seek equitable relief in court for intellectual property violations.,0,False,none,"alternative_dispute_resolution,no_mandatory_arbitration",original,True,76,11,0,2
You agree to binding arbitration for all claims and waive your right to jury trial. The arbitration shall be governed by the laws of the State of Delaware. You waive your right to participate in class action lawsuits.,1,True,binding,"binding,jury_waiver,class_action_waiver,location_specified",synthetic,False,217,38,2,1
Optional arbitration procedures are available through JAMS.,1,True,optional,"optional_arbitration,choice_available",original,True,59,7,2,0
Optional arbitration procedures are available through JAMS.,1,True,optional,"optional_arbitration,choice_available",original,True,59,7,2,0
"If you have any questions about these Terms, please contact us at legal@company.com. Our customer service team is available Monday through Friday, 9:00 AM to 5:00 PM Pacific Time. We strive to respond to all inquiries within 48 business hours. You may also reach us by mail at our corporate headquarters.",0,False,none,"contact_details,support_hours,response_time",original,False,304,51,0,0
Any lawsuit or legal action must be filed in the appropriate court in San Francisco County. You waive any objection to venue in such courts.,0,False,none,"court_jurisdiction,venue_selection,no_arbitration",synthetic,False,140,25,0,2
**You waive your right to a jury trial** All disputes will be resolved through mandatory arbitration. You waive your right to participate in class action lawsuits.,1,True,mandatory,"mandatory,jury_waiver,class_action_waiver",synthetic,False,163,26,2,1
Any controversy or claim arising from this agreement shall be settled by arbitration in accordance with the rules of ICC. You waive your right to participate in class action lawsuits.,1,True,mandatory,"class_action_waiver,provider_specified",synthetic,False,183,30,2,2
Any disagreement shall be resolved exclusively in the courts of Delaware. You waive any objection to venue in such courts.,0,False,none,"court_jurisdiction,exclusive_jurisdiction,venue_selection,no_arbitration",synthetic,False,122,20,0,2
Disputes will be resolved by a single arbitrator appointed under JAMS rules. The arbitration shall be governed by the laws of the State of Delaware.,1,True,mandatory,"provider_specified,location_specified",synthetic,False,148,25,3,1
Any conflict shall be resolved exclusively in the courts of New York. You waive any objection to venue in such courts.,0,False,none,"court_jurisdiction,exclusive_jurisdiction,venue_selection,no_arbitration",synthetic,False,118,21,0,2
Any controversy shall be resolved exclusively in the courts of Delaware.,0,False,none,"court_jurisdiction,exclusive_jurisdiction,no_arbitration",synthetic,False,72,11,0,2
Any legal action must be brought through arbitration only. Court proceedings are specifically excluded.,1,True,mandatory,,synthetic,False,103,14,1,2
You consent to the exclusive jurisdiction of the courts located in California.,0,False,none,"court_jurisdiction,exclusive_jurisdiction,no_arbitration",synthetic,False,78,12,0,2
Court proceedings are the exclusive remedy for any claim arising from this agreement. The prevailing party shall be entitled to reasonable attorney's fees.,0,False,none,"court_jurisdiction,exclusive_jurisdiction,no_arbitration",synthetic,False,155,23,0,3
You consent to the exclusive jurisdiction of the courts located in California. You waive any objection to venue in such courts.,0,False,none,"court_jurisdiction,exclusive_jurisdiction,venue_selection,no_arbitration",synthetic,False,127,21,0,3
Litigation may be pursued in state or federal court as appropriate.,0,False,none,"court_jurisdiction,no_arbitration",synthetic,False,67,11,0,2
You agree to binding arbitration for all conflicts and waive your right to jury trial.,1,True,binding,"binding,jury_waiver",synthetic,False,86,15,2,0
Any claim arising out of or relating to this User Agreement shall be resolved through confidential arbitration in the state where the Company is headquartered. The arbitration shall be governed by the laws of the State of Delaware.,1,True,mandatory,location_specified,synthetic,False,231,38,1,1
Any controversy or claim arising from this agreement shall be settled by arbitration in accordance with the rules of ICC. The arbitration shall be governed by the laws of the State of Delaware.,1,True,mandatory,"provider_specified,location_specified",synthetic,False,193,33,2,2
Any controversy or claim arising from this agreement shall be settled by arbitration in accordance with the rules of International Chamber of Commerce. The arbitration shall be governed by the laws of the State of Delaware. Small claims court proceedings are excluded from this arbitration requirement.,1,True,mandatory,"provider_specified,location_specified",synthetic,False,302,46,1,4
